Êý¾Ý×éÊý,ÎÀÐÇPRNºÅ,ÀúÔª,ÎÀÐÇÖÓÆ«²î(s),ÎÀÐÇÖÓÆ¯ÒÆ(s/s),ÎÀÐÇÖÓÆ¯ÒÆËÙ¶È(s/s*s),IODE,C_rs,n,M0,C_uc,e,C_us,sqrt_A,TEO,C_ic,OMEGA,C_is,I_0,C_rc,w,OMEGA_DOT,IDOT,L2_code,PS_week_num,L2_P_code,ÎÀÐÇ¾«¶È(m),ÎÀÐÇ½¡¿µ×´Ì¬,TGD,IODC
1,1,22  9 23  0  0  0.0,0.000279355794191,6.48014975013e-12,0.0,39.0,96.46875,3.72051211712e-09,2.5189909633,4.79817390442e-06,0.0119923102902,6.17839396e-06,5153.65955925,432000.0,8.56816768646e-08,0.489949058219,-1.84401869774e-07,0.988771595266,273.3125,0.94372746254,-7.69210612138e-09,3.46085844436e-10,1.0,2228.0,0.0,2.0,0.0,5.12227416039e-09,39.0
2,2,22  9 23  0  0  0.0,0.000645095482469,1.36424205266e-12,0.0,72.0,93.53125,4.09159900295e-09,2.05523880483,4.74043190479e-06,0.0200063559459,7.21774995327e-06,5154.89407921,432000.0,3.03611159325e-07,0.396215233098,-7.07805156708e-08,0.966748579267,234.96875,-1.39331843941,-7.66781939546e-09,2.25723688012e-10,1.0,2228.0,0.0,2.0,0.0,-1.72294676304e-08,72.0
3,3,22  9 23  0  0  0.0,0.000355173368007,5.68434188608e-12,0.0,71.0,-52.375,4.39196865741e-09,1.41650353023,2.81445682049e-06,0.00451769807842,2.79955565929e-06,5153.54713631,432000.0,-1.02445483208e-07,1.52290171136,3.72529029846e-09,0.975061122638,331.4375,1.05965292106,-8.31498920982e-09,1.25005206969e-10,1.0,2228.0,0.0,2.82842707634,0.0,1.86264514923e-09,71.0
4,4,22  9 23  0  0  0.0,0.00011470913887,5.68434188608e-12,0.0,66.0,-73.65625,4.20553232016e-09,-1.85273939483,4.05497848988e-06,0.00201913784258,1.15782022476e-05,5153.75982284,432000.0,-3.35276126862e-08,2.60463369573,-3.72529029846e-09,0.96207635393,158.90625,-3.09864595772,-7.8113968046e-09,6.96457581682e-11,1.0,2228.0,0.0,2.0,0.0,-4.65661287308e-09,578.0
5,5,22  9 23  0  0  0.0,9.76747833192e-05,1.47792889038e-12,0.0,50.0,-37.8125,4.68090926437e-09,-1.24382011986,1.72853469849e-06,0.00611051195301,1.88499689102e-06,5153.78674698,432000.0,1.06170773506e-07,1.47958645668,1.47148966789e-07,0.962087406277,339.84375,1.1137523982,-8.46535261592e-09,4.03588239642e-11,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,50.0
6,7,22  9 23  0  0  0.0,0.000305340159684,3.29691829393e-12,0.0,52.0,40.71875,4.98163607657e-09,1.88887447495,2.02096998692e-06,0.0163956939941,8.81031155586e-06,5153.63357544,432000.0,-3.61353158951e-07,-2.66203906052,-2.1792948246e-07,0.950937404554,207.8125,-2.24177902499,-8.16676875013e-09,5.75023952056e-10,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,52.0
7,8,22  9 23  0  0  0.0,8.57538543642e-05,1.5916157281e-12,0.0,90.0,11.4375,4.26732060818e-09,-1.5183171192,6.03497028351e-07,0.00753551651724,1.05127692223e-05,5153.5932579,432000.0,9.31322574616e-09,-0.594401697274,-1.09896063805e-07,0.962153955883,179.8125,0.164782739885,-7.79175312922e-09,3.55014787791e-10,1.0,2228.0,0.0,2.0,0.0,5.12227416039e-09,90.0
8,9,22  9 23  0  0  0.0,0.000292675569653,4.88853402203e-12,0.0,107.0,-84.53125,4.45411410316e-09,-1.08748985,4.39956784248e-06,0.00250918592792,1.1146068573e-05,5153.76154518,432000.0,-2.79396772385e-08,2.54993207273,4.65661287308e-08,0.955157016204,166.9375,1.90371682339,-7.96783189218e-09,3.78587198248e-11,1.0,2228.0,0.0,2.0,0.0,1.39698386192e-09,107.0
9,10,22  9 23  0  0  0.0,4.45358455181e-06,1.70530256582e-12,0.0,37.0,-41.34375,4.38732560686e-09,0.527915792235,2.13645398617e-06,0.00792093144264,2.77161598206e-06,5153.68400001,432000.0,-5.58793544769e-08,1.52019478334,1.41561031342e-07,0.974844490803,333.65625,-2.51098599845,-8.32570394185e-09,1.03932900651e-10,1.0,2228.0,0.0,2.0,0.0,2.32830643654e-09,37.0
10,11,22  9 23  0  0  0.0,1.86786055565e-05,3.29691829393e-12,0.0,180.0,95.65625,4.29982196199e-09,-1.83912050526,5.10178506374e-06,0.000735226902179,6.2994658947e-06,5153.6418457,432000.0,-5.58793544769e-08,0.528590103842,-1.67638063431e-08,0.964000241885,258.8125,-3.12213466841,-8.10212320024e-09,3.69301097159e-10,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,948.0
11,12,22  9 23  0  0  0.0,0.000282593071461,6.02540239925e-12,0.0,48.0,-16.78125,4.84163024476e-09,1.18350300389,1.02631747723e-06,0.00850050034933,5.2135437727e-06,5153.72918129,432000.0,-1.95577740669e-07,-1.54788436716,-3.72529029846e-08,0.967507685996,284.28125,1.31719560395,-8.3085603706e-09,3.51086052715e-10,1.0,2228.0,0.0,2.0,0.0,-1.25728547573e-08,48.0
12,13,22  9 23  0  0  0.0,0.000392630230635,7.16227077646e-12,0.0,86.0,-74.78125,4.05731186047e-09,-1.99061284214,3.99723649025e-06,0.00648065272253,1.12131237984e-05,5153.68348694,432000.0,9.685754776e-08,2.70624314326,-5.02914190292e-08,0.96940941513,164.40625,0.936796446338,-7.65281877062e-09,1.52863510236e-10,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,86.0
13,14,22  9 23  0  0  0.0,0.000101516954601,2.95585778076e-12,0.0,99.0,-13.46875,5.27914846915e-09,1.12544063674,6.51925802231e-07,0.00230916729197,4.77023422718e-06,5153.65060043,432000.0,7.07805156708e-08,-1.58267978737,-2.60770320892e-08,0.950891565479,280.65625,-3.03311913446,-8.46892419326e-09,3.95373611755e-10,1.0,2228.0,0.0,2.0,0.0,-7.91624188423e-09,99.0
14,15,22  9 23  0  0  0.0,2.6807654649e-05,3.06954461848e-12,0.0,30.0,-106.21875,4.91556189574e-09,-2.49368869939,5.76488673687e-06,0.014599977294,9.00402665138e-06,5153.62577629,432000.0,1.86264514923e-07,2.43810608518,-6.33299350738e-08,0.931116637637,183.65625,1.13585807785,-8.02247702551e-09,2.78583032673e-11,1.0,2228.0,0.0,2.0,0.0,-1.07102096081e-08,30.0
15,16,22  9 23  0  0  0.0,0.000524811912328,9.09494701773e-13,0.0,90.0,-19.6875,4.8294868818e-09,-0.598326157886,9.36910510063e-07,0.0127851616126,5.19119203091e-06,5153.70739174,432000.0,3.72529029846e-08,-1.52940905039,2.51457095146e-07,0.967337533994,281.59375,0.733164666063,-8.34570477496e-09,4.31446542909e-10,1.0,2228.0,0.0,2.0,0.0,-1.02445483208e-08,90.0
16,17,22  9 23  0  0  0.0,0.000661824364215,3.86535248253e-12,0.0,94.0,29.4375,3.93659254631e-09,-1.50117461882,1.5702098608e-06,0.0137222947087,1.14645808935e-05,5153.62702942,432000.0,-1.06170773506e-07,-0.509198905264,3.31550836563e-07,0.97757339917,170.5625,-1.47987038421,-7.73353641855e-09,4.54304637897e-10,1.0,2228.0,0.0,2.82842707634,0.0,-1.11758708954e-08,94.0
17,18,22  9 23  0  0  0.0,3.94531525671e-05,1.29602995003e-11,0.0,162.0,93.3125,4.14552982081e-09,2.79607050751,4.83356416225e-06,0.00285226944834,6.56023621559e-06,5153.72509575,432000.0,-6.14672899246e-08,0.494534813394,1.30385160446e-08,0.97260804016,259.46875,3.07552747209,-7.96676041898e-09,2.92512184307e-10,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,418.0
18,19,22  9 23  0  0  0.0,0.000214281026274,5.00222085975e-12,0.0,46.0,22.8125,3.98266589402e-09,0.650625280263,9.07108187676e-07,0.0091244323412,1.1719763279e-05,5153.72479629,432000.0,3.91155481338e-08,-0.464510786819,-1.67638063431e-07,0.976515611383,166.84375,2.18140472502,-7.80496796539e-09,4.3073222744e-10,1.0,2228.0,0.0,2.0,0.0,-1.53668224812e-08,46.0
19,21,22  9 23  0  0  0.0,0.000159094575793,5.68434188608e-13,0.0,42.0,100.96875,4.38411118726e-09,-1.49646881512,5.39422035217e-06,0.0243596959626,7.57724046707e-06,5153.70323181,432000.0,-4.69386577606e-07,0.393138327241,7.82310962677e-08,0.961059639032,243.0,-0.892386731444,-8.29713132311e-09,4.44661379074e-10,1.0,2228.0,0.0,2.0,0.0,-1.02445483208e-08,42.0
20,22,22  9 23  0  0  0.0,0.000332682859153,6.8212102633e-12,0.0,60.0,-59.90625,4.26910639685e-09,-1.71999941631,2.96160578728e-06,0.0134463149589,1.09560787678e-05,5153.74622917,432000.0,2.6635825634e-07,2.6530447432,1.71363353729e-07,0.962135679647,163.9375,-1.84462292198,-7.71353558543e-09,6.57170230921e-11,1.0,2228.0,0.0,2.0,0.0,-7.91624188423e-09,60.0
21,23,22  9 23  0  0  0.0,3.32947820425e-07,4.54747350886e-13,0.0,218.0,-41.53125,4.50840207876e-09,1.7623315403,2.22772359848e-06,0.0026653156383,2.34879553318e-06,5153.62331581,432000.0,-9.31322574616e-09,1.49421909142,1.86264514923e-08,0.969940306638,338.25,3.01246478658,-8.29820279631e-09,7.42888087128e-11,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,730.0
22,24,22  9 23  0  0  0.0,0.000126124825329,1.34150468512e-11,0.0,40.0,37.65625,5.10806991447e-09,2.84128532913,1.86823308468e-06,0.0130426659016,9.54791903496e-06,5153.67560387,432000.0,-2.04890966415e-08,-2.74846317847,-2.32830643654e-07,0.934526247638,181.15625,0.839232988417,-8.01319092442e-09,5.41451125041e-10,1.0,2228.0,0.0,2.0,0.0,2.79396772385e-09,40.0
23,25,22  9 23  0  0  0.0,0.000374891329557,3.97903932026e-12,0.0,48.0,-11.375,5.22878922863e-09,1.00311210429,5.58793544769e-07,0.0105484850938,4.72739338875e-06,5153.60765266,432000.0,-1.09896063805e-07,-1.62732716354,1.24797224999e-07,0.955065747671,286.625,1.00375262249,-8.59321508476e-09,3.26085011321e-10,1.0,2228.0,0.0,2.0,0.0,5.58793544769e-09,48.0
24,26,22  9 23  0  0  0.0,0.000229647383094,1.5916157281e-12,0.0,87.0,-10.40625,5.6316631528e-09,0.248115688523,5.10364770889e-07,0.00714952684939,4.05870378017e-06,5153.55531692,432000.0,0.0,-1.67843781127,4.09781932831e-08,0.935891292109,284.0,0.375547010903,-8.74679291046e-09,3.20370487574e-10,1.0,2228.0,0.0,2.0,0.0,6.98491930962e-09,87.0
25,27,22  9 23  0  0  0.0,0.000208375509828,4.66116034659e-12,0.0,33.0,13.15625,4.02766776853e-09,-1.51045377361,6.68689608574e-07,0.0106036080979,1.07474625111e-05,5153.66217041,432000.0,2.27242708206e-07,-0.573152752193,-1.13621354103e-07,0.970966673871,179.59375,0.687321575257,-7.62424615188e-09,3.95016454021e-10,1.0,2228.0,0.0,2.0,0.0,1.39698386192e-09,33.0
26,28,22  9 23  0  0  0.0,0.000336328521371,2.95585778076e-12,0.0,9.0,-16.8125,4.94199156807e-09,-1.07565225776,8.34465026855e-07,0.0164573244983,5.62332570553e-06,5153.65224647,432000.0,-3.01748514175e-07,-1.52601094331,-4.28408384323e-08,0.966530948259,277.1875,-1.26114421373,-8.48392481809e-09,3.42871424828e-10,1.0,2228.0,0.0,2.0,63.0,-1.11758708954e-08,9.0
27,29,22  9 23  0  0  0.0,0.000553820747882,3.18323145621e-12,0.0,100.0,9.3125,3.89623372235e-09,-1.60981390559,4.41446900368e-07,0.00221718777902,1.1270865798e-05,5153.64696884,432000.0,-3.53902578354e-08,-0.495698504747,1.11758708954e-08,0.979712327305,171.71875,2.45995847373,-7.6599619253e-09,3.66443835285e-10,1.0,2228.0,0.0,2.8,0.0,-1.02445483208e-08,100.0
28,30,22  9 23  0  0  0.0,0.000537103507668,2.27373675443e-13,0.0,33.0,42.03125,5.36058043255e-09,1.78451616632,2.26311385632e-06,0.00594301195815,8.29994678497e-06,5153.70747185,432000.0,-8.56816768646e-08,-2.65220814862,1.17346644402e-07,0.936068318363,207.65625,-2.65519264195,-8.41106464032e-09,5.36093759028e-10,1.0,2228.0,0.0,2.0,0.0,3.72529029846e-09,33.0
